"Year","ABS Remoteness Area","Sum (Count of cases)","Sum (Hospitalisations)"
2011,"Major Cities",22024,21870
2011,"Missing",561,546
2011,"Regional",10547,10461
2011,"Remote",1162,1156
2012,"Major Cities",21956,21812
2012,"Missing",636,628
2012,"Regional",10408,10321
2012,"Remote",1270,1263
2013,"Major Cities",23276,23134
2013,"Missing",672,663
2013,"Regional",10043,9984
2013,"Remote",1226,1220
2014,"Major Cities",23610,23481
2014,"Missing",757,746
2014,"Regional",10205,10135
2014,"Remote",1157,1153
2015,"Major Cities",24686,24557
2015,"Missing",859,845
2015,"Regional",10592,10502
2015,"Remote",1188,1178
2016,"Major Cities",26502,26344
2016,"Missing",823,813
2016,"Regional",10752,10662
2016,"Remote",1154,1144
2017,"Major Cities",26400,26279
2017,"Missing",982,968
2017,"Regional",11099,11038
2017,"Remote",1060,1054
2018,"Major Cities",26284,26168
2018,"Missing",1022,1013
2018,"Regional",11275,11209
2018,"Remote",1206,1200
2019,"Major Cities",26684,26555
2019,"Missing",1177,1167
2019,"Regional",11097,11045
2019,"Remote",1102,1099
2020,"Major Cities",24983,24925
2020,"Missing",818,815
2020,"Regional",11078,11054
2020,"Remote",1175,1172
2021,"Major Cities",26355,26355
2021,"Missing",629,629
2021,"Regional",11407,11407
2021,"Remote",1114,1114
